image_id_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
661,3.0255713,-0.2467253,-0.68914944,-1.1219121,-0.4914672,-0.7996008,-0.7657213,-0.587474,-1.5716584,0.7278158,-0.7567029,-1.21804,-0.41270548,0.0999901,0.21153544,-1.8293588,0.2731858,-0.27401936,0.26759303,-1.151459,-0.42866802,-0.25121826,0.14383003,-0.48047444,0.3908764,-0.085906886,1.1270776,0.16234429,-0.93998945,-1.5262741,-0.60294425,2.116692,-0.08889793,-1.5291371,-0.52407503,-0.44973478,0.5229078,-0.22522876,0.2454864,0.73411155,0.3040948,-1.0119503,1.4355896,0.11216076,0.6280701,-0.5767451,0.7723756,-0.10769069,0.5964246,-1.1519389,-0.6295259,-1.1049464,-0.85719705,-0.55979884,-0.2045516,0.80385166,0.5460446,0.81577253,-0.8150017,-0.73918325,-0.90300405,-1.0327026,-0.39927542,1.0003282,-0.83630943,-0.5598145,0.060102448,-0.07139737,0.5592639,-0.9904603,-1.8346577,0.2726118,-0.48838592,-1.804192,0.9533225,-0.8396183,-0.5989183,-0.7342815,-0.9685221,-1.7526859,0.91346353,-0.01575056,0.5229235,0.083360136,0.49391732,-0.616717,-1.1213152,-0.6791221,0.9979743,-0.83459073,-0.07706817,-1.402993,0.24239296,-1.0962222,1.1389089,-0.575934,-0.33021465,-1.2860235,0.61324716,-0.37903506,-0.05737497,1.2399094,1.2180209,-1.8072517,-0.012072839,-1.1083834,0.8151267,0.46766979,0.21103457,-0.87438864,-0.8646694,1.1044481,-1.333065,0.65870064,-0.6844848,0.34337378,-0.4123998,1.7367325,0.05456806,1.1444479,-0.6406635,0.3549155,1.1467533,1.3229115,0.4993915,-1.1579611,-0.5541951,1.1343741
662,0.38754836,-0.38508135,0.38822854,-1.1387227,0.57669425,-0.61191785,-0.50591356,0.22065863,-0.49429327,-0.5079243,0.119056694,-1.4043161,0.10506667,-0.22460784,0.19208094,-0.17001338,-0.65616727,0.57046926,0.045979615,0.36877558,-0.07546496,0.7182473,0.11414177,-0.75724095,-0.7388458,-0.40989655,0.15568067,0.24072854,-0.57467264,-1.365015,-0.2683733,1.4605627,0.34775925,-1.5242776,-0.61183304,-0.20219839,1.3809549,-0.5565369,1.3296072,-0.07640937,0.7192972,-1.4112357,0.69981456,-0.20678724,0.53074145,0.8436611,-0.69988155,-1.619206,-0.16251118,-0.109225065,-1.9966077,-0.76958084,-0.8315764,0.59758526,-1.5750679,0.23617662,-0.0024578217,0.699536,-0.73179245,-1.3586075,-0.6137172,0.4152546,-0.795513,1.786245,-1.2731514,-0.7646177,1.3049842,-1.072224,1.4844636,-1.8997597,-2.136001,-0.23697698,-1.1302843,-1.2017188,0.3197848,-0.41044682,-1.4952031,-0.80147123,-0.3153161,-0.83045727,1.8634259,-0.93302596,-0.28419662,-0.40814713,0.8161581,-1.3545045,-0.7003357,1.509769,-1.4761785,-0.3961106,0.31997654,-1.085755,-0.61217505,-1.2154003,-0.570794,-0.6722096,-0.7294572,-1.913471,0.8565209,-0.7499108,-1.7468513,1.6262578,0.6575081,-1.6897993,0.00864511,0.073674366,1.184006,-0.83330536,-0.47110114,-0.41755718,0.15748729,0.4586056,-0.48561898,0.14306137,-0.44065002,0.9477265,0.5136062,0.95449615,-0.9449806,1.3254676,-1.4918575,0.59544945,1.962715,1.0411466,0.5776348,-1.7102832,-0.12588766,1.9493806
663,1.3999395,-1.2341807,1.425709,-0.09987435,-1.591434,-1.0059482,0.8936881,-0.85724914,-1.42609,0.9797429,-0.20351347,-1.6222667,-0.3607328,-0.28907716,0.66107965,-0.3264678,0.58263314,-0.6075858,0.32671985,1.0871125,-1.1823975,-0.3858712,-0.9255847,1.4542865,-0.65898365,0.5395614,-0.037756797,-0.04033558,-0.03688754,1.4959475,-0.26186317,-0.49073088,0.003958134,0.18548775,1.0492717,1.2010871,-0.6427779,-0.8877955,-0.385742,1.3817179,1.0197196,0.13879263,-0.103123516,1.6787022,1.1493986,-1.6022156,0.6280857,2.3638778,-0.29724795,-1.6831652,2.0200453,-0.45687944,-0.77740973,-1.2361507,-1.1126511,0.2708383,1.4984384,1.9142549,-1.4283445,0.27998263,-0.4289519,-0.67235345,-0.01575209,0.56709194,-0.095439285,0.5772031,0.506561,1.2076991,1.6341219,0.46066296,0.0970504,-1.6224506,0.5662667,-2.0165617,-0.5514989,-0.6841185,-0.6565716,-0.9308029,-1.237464,-0.34109557,0.35110244,-1.4297599,0.65713465,0.029511461,-0.21251243,-1.6643794,0.2822078,0.23897608,0.77660644,-0.937296,-0.14092746,0.24028677,0.7239672,1.3981172,-0.19234022,-1.1214551,1.4465444,-1.561476,-1.3275695,2.0422966,1.1690677,1.888186,-0.63921285,0.11372859,-1.3551263,-0.852959,0.18839276,-2.362944,-0.23233719,-0.00025161915,-1.4619224,1.2807704,0.92895114,-0.76784045,-0.3754671,-1.0336772,-0.045430698,0.30440176,1.2238073,0.04267448,-0.06260699,0.71852267,0.26966202,-1.3359228,1.1279694,-0.42033562,0.41580752,1.2481732
664,1.9135343,-1.3013701,-0.13016005,-0.09446479,-0.27895835,-1.6899759,1.2855963,-0.5640828,-2.0975027,0.95292723,0.9361507,-2.3877695,-1.2976621,-1.7387998,-0.23943269,0.17891587,-0.4054346,0.05553244,0.2380898,0.04318558,0.8810425,-1.3256494,-0.3327397,0.6247191,0.36601478,1.3929343,0.06049779,-1.1180345,0.23478246,-0.81198156,-0.64131033,1.9001768,-1.8148106,-0.30789125,0.7044694,-0.8153674,-0.58793837,0.3949226,0.6861755,-0.47033337,0.5696387,-0.032352827,1.1174526,1.3343956,-0.18273257,0.6558498,1.1582141,0.80909896,-0.4498058,-1.1157326,1.1885237,-0.77289224,-0.03242536,-0.046445765,0.58686024,-0.464299,0.38952735,0.29783717,0.4261897,1.262986,0.18782878,-0.49166507,-0.716184,-0.35372123,-0.19102159,0.42416942,-0.043140568,-0.27374497,1.5859091,1.0769119,-1.2452462,-1.2040855,-2.5846372,-1.2050937,0.3582928,0.51295567,-1.1673414,1.1592575,-0.928938,-0.951581,0.78104526,-1.0510901,-0.110840626,-1.4356022,0.7841841,-1.0122802,-1.3328621,-0.7677265,0.25721768,-1.392911,0.77963614,-0.8503862,0.072570264,0.60593224,0.7262395,-1.0484657,1.4687178,-1.8022065,0.6963857,0.06033378,-0.736431,-0.593496,0.45671102,0.14031427,-0.42743054,-0.673274,1.291881,1.2248702,-1.4853238,0.7207802,0.044910155,-0.03210619,0.13470514,-1.3870828,-1.6040281,-0.15002589,-0.534611,0.5950968,-1.2965546,-0.18289751,0.993493,0.3575713,-0.090856895,0.29375094,-0.39898968,-1.4709146,-1.7813749,-0.8482587
665,0.8443692,-1.13819,1.6408498,-0.3491459,1.102048,-1.3823355,1.5850512,-0.5950822,-1.44468,-0.23053004,0.46588016,-1.8247665,0.2604983,-0.4801241,0.19529623,-0.7459806,-0.7725605,-0.25215292,-0.5010629,0.46065772,0.010756224,-0.47282133,0.33121088,1.5014039,0.017776327,0.31654224,-0.038382716,1.0497371,-0.75089353,-1.0115045,0.60773337,0.9944042,-0.99970657,0.12432449,-1.2949893,-0.77606183,0.31396452,-1.5410479,1.4116414,0.596225,-0.1554585,0.38845402,2.2269435,-0.039333165,-0.10052196,1.338313,-0.0973794,-0.020979479,0.29720193,-0.14370441,-0.12794888,-1.3505936,-0.015163474,0.042694688,-0.97331196,-0.48573163,0.18478277,0.72834885,-1.0879624,1.1186737,-0.9750677,0.119037434,0.10198497,1.4907519,-0.74736136,-0.35036248,0.038139127,0.76847696,2.2941027,0.35165468,-1.9201953,0.7405244,-0.7041967,-1.2605984,-1.6179059,0.13079247,-1.0203944,-0.25317743,-0.32423958,0.42377973,0.3069569,-0.75584745,0.60605276,-1.0659428,-0.12549004,-0.6064602,0.37527788,0.5514983,-0.5427428,-0.22333618,2.5546165,0.34639922,-0.7474457,0.67698145,1.0291643,-0.8190574,-0.5949192,-1.5771406,0.32866117,-0.37623334,0.49049956,0.47542363,0.99037504,-1.2458415,-1.1418077,-1.0376608,-0.2529538,-2.067883,-1.8881916,-1.6074126,-0.279508,-0.17784272,0.24141105,-0.1595069,0.88327676,0.8691373,0.19727615,1.9071337,0.7019855,1.4963934,-1.3632036,0.5551686,1.7326667,0.27209687,-0.2259237,-2.6011925,0.47759202,0.7901613
666,1.9282186,-1.0825263,-0.58084345,-1.5132841,0.09635362,-0.8304883,-0.4770902,-0.99462575,-1.913504,0.86767113,0.45672584,-0.71169955,-0.039947078,0.04078433,1.1542164,1.7282021,-0.35330272,-0.5201527,0.9200987,1.5063715,-0.95622003,1.2078114,-0.25465503,1.20214,1.5953081,0.62674946,1.1227853,0.58103937,-0.1899171,-0.7265707,0.64137006,1.039193,0.32709864,-0.2820538,-0.048471026,-0.0041488875,0.49125528,-0.023211136,1.7078977,1.533133,-0.38170394,-0.6738512,1.5517714,-0.12960331,-1.0582588,-0.8508837,-0.7415822,-0.20837858,0.20502953,-0.057669885,0.6630558,-0.8690837,0.906664,0.2342842,-0.25466087,-1.1466585,-0.19663623,0.7005842,-0.46625328,0.21785948,0.5173446,-0.21617888,-1.1090649,0.4287499,-0.014640175,-0.8962839,1.250153,-0.56169325,0.9476001,0.07284954,-1.3738744,-1.0477556,0.27877712,-0.8910635,-0.37420842,0.015084144,0.68497765,-0.18347855,0.5898259,-0.5917664,0.17265987,0.25344267,0.5878046,1.780141,0.64257556,-0.75115144,0.30681562,-0.14473447,0.616958,0.024264846,0.97712046,-0.7957933,-0.53065413,-0.5942961,0.7258171,-0.9493764,0.061897967,-1.4752805,-0.25499967,-0.4728611,0.27050245,0.1889888,0.2375383,-0.59384376,-0.25965112,-1.1444355,0.70638883,0.28296387,-0.2969736,-1.3687829,0.60457116,0.35951447,1.0891168,-0.5306214,1.1394234,-0.9112507,0.09619987,2.5463362,1.228484,0.4800891,0.5515625,-0.15806708,0.38893116,1.1143925,1.5866135,-1.9622686,-0.19154072,0.5337493
667,0.4688331,-3.3211486,0.13627245,0.0388645,-0.6798248,-2.2713041,-0.6938449,-0.3593784,-0.9213488,1.136178,-0.7534824,-1.2489552,-0.36406475,0.2974215,0.99538004,-0.3544222,0.5342941,-0.06956282,-1.3204503,0.65935075,-1.2453673,0.19614628,-0.60214067,1.8396181,1.8409084,0.27763686,2.194009,-0.09967776,0.9263842,-1.2379858,0.65619326,1.5851856,1.5807523,-1.4669254,-1.4736407,-0.07523072,-1.0960016,0.21700132,0.8359671,0.24254994,0.30508235,-0.9916741,0.45090938,-0.18239406,0.87236506,-0.24798226,-0.41731405,0.39219058,-0.7602525,-0.70895493,1.548698,-0.70507264,0.21703187,-0.76574755,0.3004895,-0.7463682,0.7364711,0.66552466,-1.0814592,-0.14712772,0.54165447,-1.5316434,-1.2262195,0.5379053,0.59813976,-1.1464503,1.03138,-1.1948458,0.128284,-1.7910423,-2.6659865,-1.2416781,0.11824766,-1.7430226,0.09278877,-2.3029833,-0.41036165,-1.2871966,0.5757879,-0.38310826,0.068030104,-0.102037534,0.46067426,1.2243892,-1.0663892,0.32643065,0.07913961,-0.07737674,0.6853918,-0.3803581,0.7386089,0.6701878,-0.19775696,0.5986749,1.1719549,-1.4760267,0.96664405,-0.81723297,-0.6612598,-0.3995862,0.54208374,0.872153,0.44175258,-0.3898044,0.27158698,-1.1963966,-0.34194836,-1.186741,0.26293418,-0.5599648,-1.3245516,0.89257187,1.2260277,-1.0815585,0.13953717,-1.3701011,-0.7051395,2.1682127,0.5564887,0.260513,-1.2838007,0.16410787,-0.13983302,1.2367619,0.7241779,0.1176896,-0.22625683,1.0251303
668,1.7222326,0.9460273,-0.15692814,0.015970804,-2.4849837,-0.4125564,-0.6725856,0.052843377,-0.9152055,1.3756038,-0.31344396,-1.5706248,-2.015697,-0.9123752,-0.6206082,0.66545266,0.83177507,0.5432677,0.78591496,-0.030528456,-0.28957635,0.8564887,-0.3570654,1.6246756,1.8544886,1.1150658,0.31879288,-0.1344365,1.9876289,-0.8948065,-1.5145288,-0.011493456,-1.5819504,0.37050426,0.6880878,-1.1574758,0.527096,1.4026722,0.19743434,0.9424064,-0.2983368,-0.74473184,0.704443,2.3571148,-0.004824972,1.2006209,0.7472574,-0.11299224,0.2985301,-1.2654747,0.7698758,-0.7729653,0.5983938,0.3912242,-1.6093484,1.3981774,1.7306587,0.38341975,-0.2084469,0.19351822,0.032459505,0.73182803,-1.8761662,1.2925842,0.671104,0.5107116,0.49095267,-0.6579271,0.64670384,-1.6417329,-0.997407,-0.59131765,-0.5072683,-1.466104,1.9196166,0.17576474,0.6224998,1.6550698,-0.79942906,-0.23672049,-0.29401395,-1.3457723,0.21766606,-1.0169176,0.7630338,-0.5807657,-0.7226052,-0.3204497,-0.3716811,-0.69444793,0.7412364,-1.1807582,0.29217213,-0.9039135,1.2947668,-1.9558866,1.4490054,-2.33593,0.9533568,-0.70050025,-0.25131118,2.247011,0.945811,0.9955668,-0.6152149,0.11567044,-0.22535393,0.7557826,-0.4711141,-1.0685736,0.86940014,-0.18499227,-0.74322605,0.5153693,-1.6455894,0.2724656,-0.024207808,1.8991133,-0.08702543,0.7672719,1.0895125,0.14388478,-0.6859467,-0.20988972,-0.32509285,-1.0774469,-0.14445166,-0.07929966
669,1.995682,-0.09350757,-0.7831893,-1.2245834,0.05392689,-1.403925,0.34743235,0.27439177,-1.3092395,0.3647706,0.15666619,-1.2116116,-0.839412,-0.5692425,0.8386612,-0.287722,0.5985513,0.09474583,0.49329367,-1.0242586,-1.8918186,0.71187663,-0.34521642,0.73683983,0.9655168,1.2177207,1.2501743,0.48148495,-0.77204925,-1.1622474,-0.4903294,1.9534208,-0.643401,-0.5631569,0.30736557,-0.13752677,-0.37372848,0.56376576,0.9345344,0.65981686,-0.13816194,-0.99143034,1.0406767,0.30707887,0.5843436,-0.27074903,1.1874576,-0.7664486,-0.16472079,0.40845883,-0.6069593,0.2662485,0.39782873,-0.32492334,-0.067359924,0.024274092,-0.515871,0.73535955,-0.36773783,-1.0430466,-0.12177766,-1.5038401,-0.45025417,0.580687,0.467595,-0.0981276,-0.21087813,-0.0927577,0.6845565,-0.48168695,-1.0110939,-1.0340698,0.19334798,-1.1898756,-0.3380983,-0.60226625,-0.68303645,-0.21365564,-0.31211692,-0.991193,0.77956,-0.010762766,-0.15217274,0.9498273,1.2649003,-0.58321166,0.12761235,-1.1618795,0.22534072,0.31932116,0.01493711,-0.8711385,-0.48277128,-1.1255513,0.49512932,-0.7492,-0.32823423,-0.6672195,-0.54895514,-0.28631133,-0.7822218,1.2657883,1.1987494,-1.1627321,-0.71908444,0.16776414,0.064101785,1.2039024,-0.5876429,-0.7182443,-0.34084886,1.4851234,0.36939672,0.4738716,0.28677258,0.18399099,-0.6907108,0.44538802,0.9207199,0.52921647,-0.123869404,0.32048243,0.10356137,1.3600689,0.23010722,-1.3664544,-0.11785205,0.12843595
670,2.3088398,-0.80256796,1.6262575,-1.9267966,0.76533985,-1.2407113,-0.30880713,-1.3800962,-0.91784894,-0.54702216,-0.36165684,-1.2846527,-0.27095288,0.43356445,-0.5128249,-1.0836103,-0.8342314,-0.3165956,-0.07373747,0.75446916,0.32975683,-0.4722642,-0.7306315,-0.61418307,-0.8901761,0.27351567,1.2504847,-0.85019475,-1.0159496,-0.1876216,-1.2473235,1.9309404,0.47576216,-1.0784419,-0.80655384,0.8168258,-0.601864,-1.6708846,0.1760955,0.25234836,1.5475343,-1.5683919,0.9361217,0.30780172,-1.2198472,-1.5558596,-0.51495916,0.34173167,-1.4405607,-1.646685,1.489901,-1.0154996,0.0987405,-1.4450592,0.87400365,-1.6394045,0.11398257,0.137715,-1.03061,-0.070435055,-0.15944834,-1.718322,-0.33740187,1.6838793,-1.0933083,-0.1544766,0.47453505,-0.8654414,2.2030442,0.5523268,-1.0329156,-1.6492348,-0.44861042,-1.0054574,0.7715767,0.37130022,-0.009556882,-0.14569776,0.7943211,-2.3524597,1.3365492,0.4380795,0.12069357,0.7864846,1.3038424,-0.89975166,0.22181961,-1.2583699,0.33863693,-0.30872676,-0.69114727,0.27765888,0.38543004,-0.25035027,0.18592489,-0.36351302,0.21117274,-1.5006708,-0.91488785,-0.5526962,-0.59319675,0.3533981,0.11904743,-0.88743013,-0.3249011,-1.6493267,1.1252367,-0.39970687,-1.352351,-0.35286602,-0.22048722,1.3631525,-0.051791348,-0.11021328,-0.4608326,0.35574028,-0.4795268,1.6599958,0.0012821853,0.94964176,-0.8149404,-0.039314583,0.8232469,0.57480395,1.0033059,-0.8385816,-0.6547167,1.9484721
